cpih_yoy,food_yoy,housing_fuels_yoy,transport_yoy,core_cpih_yoy,date,bank_rate,ppi_input_yoy,ppi_output_yoy,ppi_import_yoy,ppi_export_yoy,war_dummy
0.7,-2.5,1.5,-1.3,1.5,2016-04-01,0.5,-2.064896755162249,-0.7850834151128638,1.7839444995044529,-0.09708737864077,0
0.7,-2.8,1.6,-1.0,1.5,2016-05-01,0.5,-0.7889546351084964,0.8000000000000007,1.8905472636816079,3.0272452068617506,0
0.8,-3.0,1.6,-0.3,1.6,2016-06-01,0.5,0.7936507936507908,2.208835341365467,3.803803803803807,5.391658189216675,0
0.9,-2.6,1.6,0.1,1.6,2016-07-01,0.5,3.299999999999992,5.358948432760369,8.953722334004022,10.553278688524603,0
1.0,-2.2,1.6,0.7,1.5,2016-08-01,0.5,5.268490374873358,6.07902735562309,9.356136820925553,11.258955987717512,0
1.3,-2.3,1.8,1.2,1.7,2016-09-01,0.25,5.460060667340749,5.858585858585852,8.091908091908095,10.152284263959398,0
1.3,-2.4,1.9,2.3,1.6,2016-10-01,0.25,8.51063829787233,8.165322580645151,12.474849094567396,13.31987891019173,0
1.5,-2.1,1.8,2.7,1.7,2016-11-01,0.25,8.886618998978534,8.231707317073166,12.551020408163271,13.190184049079768,0
1.8,-1.1,1.9,3.6,1.8,2016-12-01,0.25,10.655737704918034,7.598784194528885,10.181451612903224,10.909090909090914,0
1.9,-0.5,2.0,5.3,1.8,2017-01-01,0.25,12.667353244078283,7.6228686058174455,10.515873015873023,9.891196834817006,0
2.3,0.2,2.0,6.6,2.1,2017-02-01,0.25,12.628336755646806,7.085828343313372,9.458128078817719,8.537782139352302,0
2.3,1.3,2.0,4.4,1.9,2017-03-01,0.25,11.133603238866407,7.256461232604394,10.52114060963618,9.090909090909083,0
2.6,1.6,2.2,6.2,2.4,2017-04-01,0.25,10.24096385542168,6.231454005934722,8.666017526777004,7.288629737609331,0
2.7,2.1,2.2,4.5,2.5,2017-05-01,0.25,8.648111332007957,6.547619047619047,9.1796875,8.1292850146915,0
2.6,2.4,2.1,3.5,2.4,2017-06-01,0.25,7.381889763779537,5.992141453831046,9.450337512053997,7.722007722007729,0
